1,1756,1852.28,1962
2,1698,1820.26,1942
3,1696,1790.88,1938
4,1694,1766.82,1870
5,1694,1731.98,1844
6,1694,1703.84,1830
7,1694,1694.6,1708
8,1694,1694,1694
9,1694,1694,1694
10,1694,1694.24,1706
11,1694,1694.86,1780
12,1694,1695.28,1752
13,1694,1694.12,1706
14,1694,1695.7,1766
15,1694,1695.58,1780
16,1694,1694.2,1714
17,1694,1694,1694
18,1694,1694,1694
19,1694,1694,1694
20,1694,1694,1694
21,1694,1694,1694
22,1694,1694,1694
23,1694,1694.98,1780
24,1694,1694,1694
25,1694,1694.86,1780
26,1694,1694,1694
27,1694,1694,1694
28,1694,1694.86,1780
29,1694,1694,1694
30,1694,1694.36,1730
31,1694,1694,1694
32,1694,1695.58,1780
33,1694,1694,1694
34,1694,1694.12,1706
35,1694,1694.36,1730
36,1694,1695.08,1730
37,1694,1694,1694
38,1694,1695.06,1752
39,1694,1694.86,1780
40,1694,1694,1694
41,1694,1694.92,1766
42,1694,1694.12,1706
43,1694,1694.94,1752
44,1694,1695.7,1780
45,1694,1694.2,1714
46,1694,1694.72,1766
47,1694,1694.56,1730
48,1694,1694.2,1714
49,1694,1694,1694
50,1694,1694.78,1752
51,1694,1694,1694
52,1694,1694.86,1780
53,1694,1694.86,1780
54,1694,1694,1694
55,1694,1694.36,1730
56,1694,1694,1694
57,1694,1694.48,1730
58,1694,1695.42,1780
59,1694,1695.56,1766
60,1694,1695.16,1752
61,1694,1695.72,1780
62,1694,1694,1694
63,1694,1694.68,1730
64,1694,1694.58,1752
65,1694,1694.12,1706
66,1694,1694.2,1714
67,1694,1694.36,1730
68,1694,1695.58,1780
69,1694,1694.58,1752
70,1694,1694,1694
71,1694,1694,1694
72,1694,1694.32,1714
73,1694,1694.12,1706
74,1694,1694.58,1752
75,1694,1694.12,1706
76,1694,1694.2,1714
77,1694,1694.36,1730
78,1694,1694,1694
79,1694,1694,1694
80,1694,1695.84,1780
81,1694,1694,1694
82,1694,1694.86,1780
83,1694,1694.12,1706
84,1694,1694.36,1730
85,1694,1694.98,1780
86,1694,1694,1694
87,1694,1694.2,1714
88,1694,1694.48,1730
89,1694,1695.22,1780
90,1694,1694.12,1706
91,1694,1694,1694
92,1694,1694.72,1766
93,1694,1694,1694
94,1694,1695.44,1780
95,1694,1694.2,1714
96,1694,1694.58,1752
97,1694,1694,1694
98,1694,1694,1694
99,1694,1694.58,1752
100,1694,1694.56,1730
